CID NO,NAME,DZONGKHAG,GEWOG,HOUSEHOLD ID,GENDER,FamilyID,FATHER CID NUMBER,MOTHER CID NUMBER,SPOUSE CID NUMBER
10404000104,Ramesh Sabita,Garlic,Garlic4,585126461,Female,37,10703004632,10301007022,
10907007635,Pema,Peas,Peas7,34126396,Male,48,,,10809006176
11009001654,Deki,Potato,Potato9,213500298,Male,13,10703002584,10505008375,
11004000133,Wangchuk Deki,Potato,Potato4,790779946,Male,4,11007005374,10302005798,
10811003463,Tenzin Sonam Dorji,Pumpkin,Pumpkin11,482334538,Female,5,10804002248,10707006821,
10402003196,Pema Karma,Garlic,Garlic2,298362082,Female,24,10101008719,10707000950,
10711004205,Kinley Wangchuk Choden,Mustard,Mustard11,166944844,Female,42,10202007144,10709005260,
11005003559,Deki Kinley,Potato,Potato5,31994523,Male,9,10304007405,11002009363,
10908008004,Tshewang Tashi,Peas,Peas8,298704996,Female,26,10707007417,10606002925,
10702000132,Lhaki,Mustard,Mustard2,634036506,Female,16,,,10301006955
11009007790,Choden Tenzin,Potato,Potato9,26855092,Female,33,11009004728,10908003629,
10202000637,Prakash,Carrot,Carrot2,453778756,Male,36,10306002924,10703000449,
10705007504,Sabita,Mustard,Mustard5,236696312,Male,30,10908004465,10810003909,
10501002347,Manoj Binita,Hoentshoe,Hoentshoe1,234760738,Female,47,,,10305002683
11003007486,Deki Choden,Potato,Potato3,28492780,Male,2,,,10602004334
10301004649,Yonten Lhaki,Dumru,Dumru2,726600539,Male,35,11009006566,10104002159,10104001503
10405000043,Choden Wangchuk,Garlic,Garlic5,453778756,Male,36,10707005878,10205002262,
10304000120,Yonten Tashi,Dumru,Dumru5,365341213,Female,3,11001009421,10804007432,
10702000998,Tashi Karma Wangchuk,Mustard,Mustard2,796233790,Male,40,10604004543,10604001419,10708004646
10803006086,Deki Dorji,Pumpkin,Pumpkin3,166944844,Female,42,10301007133,10702001524,
10304002546,Sabita,Dumru,Dumru5,171432881,Male,23,10401009275,10505008288,
10406005039,Sabita Ramesh,Garlic,Garlic6,171432881,Female,23,,,10811001923
10707009433,Tshewang,Mustard,Mustard7,28492780,Male,2,10704009833,10502003288,
10811005759,Tshewang,Pumpkin,Pumpkin11,236696312,Male,30,10908004465,10810003909,
10706007565,Karma Sonam,Mustard,Mustard6,632719211,Female,50,10801008408,10707000256,
10905001260,Gyeltshen Sonam,Peas,Peas5,34126396,Male,48,10604003139,10704009083,
10701003827,Yonten Karma,Mustard,Mustard1,239670711,Female,29,,,11009005155
10703004632,Choden Gyeltshen,Mustard,Mustard3,585126461,Male,37,10706006523,10102004888,10301007022
10303007269,Karma Tshewang,Dumru,Dumru4,149827706,Male,20,10708000919,10302007075,
10303005881,Sita Binita,Dumru,Dumru4,231191390,Female,41,10811005661,10403009954,
10101009813,Tashi Tshering,Banana,Banana1,110053353,Male,28,11007009202,10908009669,
10601000056,Tashi Tenzin Dorji,Ladyfinger,Ladyfinger1,585582861,Female,21,10202008980,20201004026,10809000842
10104001535,Karma Tshering,Banana,Banana4,632719211,Female,50,10801008408,10707000256,
10801001479,Binita,Pumpkin,Pumpkin1,790779946,Male,4,,,20201004986
10307001323,Deki Lhaki,Dumru,Dumru1,697808098,Male,45,10210005401,10708004414,
10304009614,Tashi Karma,Dumru,Dumru5,790779946,Male,4,10306000500,10605009874,
10604005816,Lhaki Tshering Tashi,Ladyfinger,Ladyfinger4,585126461,Female,37,10706006523,10102004888,10701006709
10801000298,Tshewang Tashi,Pumpkin,Pumpkin1,646412689,Female,31,10602001104,10303005514,
10307002053,Nirajan Prakash,Dumru,Dumru1,795285932,Female,22,10804005759,10202000893,
10710003020,Komal Sunita Gita,Mustard,Mustard10,814763202,Male,34,10904008013,10407004347,
10307009364,Kinley Wangchuk Lhaki,Dumru,Dumru1,249817734,Male,19,11003008564,10606001493,
10305008922,Karma Choden Tashi,Dumru,Dumru6,869119330,Female,46,10902003389,10604009370,
10901007632,Tshewang,Peas,Peas1,166944844,Female,42,10301007133,10702001524,
11007003555,Karma Tashi,Potato,Potato7,768820204,Female,39,11006007714,10801007066,
10101005464,Karma Dorji,Banana,Banana1,814763202,Male,34,,,10301007369
10902001275,Manoj Krishna Dipak,Peas,Peas2,298704996,Male,26,10803009787,10710001827,
10908007378,Lhaki Tashi,Peas,Peas8,239670711,Female,29,10307001344,10702007579,
11003004135,Lhaki Kinley,Potato,Potato3,796233790,Female,40,10604004543,10604001419,10501009590
10801000741,Kinley Karma Wangchuk,Pumpkin,Pumpkin1,249817734,Female,19,10802007056,10709001274,
11004007921,Tshewang Karma,Potato,Potato4,365341213,Female,3,11002007912,10402000417,
10305002999,Yonten,Dumru,Dumru6,28492780,Male,2,11006009376,10805003568,
10601005272,Wangchuk Pema Gyeltshen,Ladyfinger,Ladyfinger1,585582861,Female,21,10601000056,10809000842,
10907008482,Karma Gyeltshen,Peas,Peas7,686579303,Male,44,,,10503005614
10701001169,Tshewang,Mustard,Mustard1,234760738,Female,47,10504000972,10711006732,
10501008882,Tshering Choden,Hoentshoe,Hoentshoe1,957970516,Male,11,10301009263,10405007433,10205006596
10202001885,Wangchuk Karma Sonam,Carrot,Carrot2,234760738,Male,47,10701000762,10502004106,
10708004414,Komal Manoj,Mustard,Mustard8,697808098,Female,45,,,10210005401
10908001743,Tshering Yonten,Peas,Peas8,796233790,Female,40,10103004193,10702002050,
10807009662,Sonam,Pumpkin,Pumpkin7,295310485,Female,1,10202005772,10905009470,10908008847
10803005511,Tshewang,Pumpkin,Pumpkin3,753041955,Male,10,10406005375,10806007007,
10202005050,Gyeltshen Tshewang,Carrot,Carrot2,602632297,Male,49,,,10601008366
10708004525,Yonten Lhaki Pema,Mustard,Mustard8,726600539,Male,35,10606006857,20201007314,
10405007777,Pema Deki Lhaki,Garlic,Garlic5,646412689,Female,31,10808004836,10906003279,
10103002420,Sonam Kinley,Banana,Banana3,585126461,Male,37,10601005031,10810001502,
10605005296,Dorji Karma,Ladyfinger,Ladyfinger5,602632297,Male,49,10704005262,10406009696,
10302007155,Tshering Tenzin,Dumru,Dumru3,790779946,Male,4,11003009157,10711001127,
10401009115,Amit,Garlic,Garlic1,149827706,Male,20,,,10301008576
11005007569,Choden Tshering,Potato,Potato5,31994523,Female,9,,,10807002532
10605009874,Tshering,Ladyfinger,Ladyfinger5,790779946,Female,4,,,10306000500
10303003404,Karma Yonten,Dumru,Dumru4,110053353,Male,28,10603006102,10807005553,
10709006745,Pema Kinley,Mustard,Mustard9,602632297,Female,49,,,10407007292
11006006150,Karma Lhaki,Potato,Potato6,171432881,Male,23,10811001923,10406005039,10604007784
10302001398,Amit Sunita Manoj,Dumru,Dumru3,453035110,Male,25,10205001936,10502006026,
10809007957,Ramesh Ram,Pumpkin,Pumpkin9,166944844,Male,42,10202007144,10709005260,
10307004903,Choden,Dumru,Dumru1,239670711,Female,29,,,10708004064
10705006653,Karma Sonam,Mustard,Mustard5,796233790,Male,40,10305006622,10811001633,
10805007517,Prakash,Pumpkin,Pumpkin5,542621108,Male,8,10810001612,10303001404,
10307006120,Yonten,Dumru,Dumru1,236696312,Female,30,10908004465,10810003909,
10603002352,Yonten,Ladyfinger,Ladyfinger3,869119330,Male,46,11005005546,10908002768,
10807008056,Ram Bishnu,Pumpkin,Pumpkin7,93349856,Female,15,10707006861,11006002546,
10203005904,Tenzin Pema Sonam,Carrot,Carrot3,119540831,Female,18,10902000130,10806004460,
10801001627,Tashi Deki,Pumpkin,Pumpkin1,239670711,Male,29,11006000672,10803003762,
10405006916,Wangchuk Pema,Garlic,Garlic5,726600539,Male,35,10301004649,10104001503,
10302009674,Wangchuk Deki,Dumru,Dumru3,171432881,Female,23,11006006150,10604007784,
10301008377,Lhaki Dorji,Dumru,Dumru2,869119330,Female,46,10902003389,10604009370,
10103009623,Komal Manoj Sita,Banana,Banana3,166944844,Female,42,10202007144,10709005260,
11003006934,Tashi,Potato,Potato3,634036506,Female,16,10806008584,10304006284,
10203004009,Wangchuk,Carrot,Carrot3,213500298,Male,13,10402000742,10101007406,
10707009461,Yonten Tenzin,Mustard,Mustard7,365341213,Female,3,10704001307,10808009911,10705009727
10906002536,Tashi Gyeltshen,Peas,Peas6,453035110,Female,25,10205001936,10502006026,
10701007259,Wangchuk Tenzin Yonten,Mustard,Mustard1,585126461,Female,37,10601005031,10810001502,
10501004477,Sunita Sita,Hoentshoe,Hoentshoe1,819795579,Male,17,10502004173,10307006329,
10701009125,Yonten Tenzin Lhaki,Mustard,Mustard1,28492780,Female,2,10704009833,10502003288,
10502005724,Komal Binita,Hoentshoe,Hoentshoe2,100604502,Female,14,10802004295,10805009131,11003003524
10203002485,Deki Tshering,Carrot,Carrot3,957970516,Male,11,10501008882,10205006596,
10407001956,Tashi,Garlic,Garlic7,6977991,Male,6,20201006504,10503008928,
10102002361,Dorji,Banana,Banana2,110053353,Male,28,10701005280,10905001869,
10803003762,Karma Dorji,Pumpkin,Pumpkin3,239670711,Male,29,,,11006000672
10906001729,Tshering Wangchuk Tshewang,Peas,Peas6,298704996,Male,26,10803009787,10710001827,
10102001876,Lhaki Choden,Banana,Banana2,171432881,Male,23,10706007684,10302003872,
11004005608,Tenzin Yonten Karma,Potato,Potato4,234760738,Male,47,10701000762,10502004106,
10605004742,Amit Prakash,Ladyfinger,Ladyfinger5,298704996,Female,26,10707007417,10606002925,
10809005152,Wangchuk,Pumpkin,Pumpkin9,795285932,Female,22,10804005759,10202000893,
10808009562,Prakash,Pumpkin,Pumpkin8,453035110,Female,25,10902009256,10802001376,
10903004625,Pema Tenzin Dorji,Peas,Peas3,453778756,Male,36,10804009200,10102005629,
10401007787,Karma Sonam,Garlic,Garlic1,814763202,Female,34,10202006731,11006006739,
10606001715,Yonten,Ladyfinger,Ladyfinger6,542621108,Male,8,10902002506,10403001970,10302004583
10505004335,Sonam,Hoentshoe,Hoentshoe5,865241839,Male,12,10205008584,10908008109,
10502006705,Tenzin,Hoentshoe,Hoentshoe2,795285932,Male,22,10304008381,11003003902,
10601008510,Sabita Gita,Ladyfinger,Ladyfinger1,26855092,Female,33,10403005121,10304008452,
10809000842,Binita Gita,Pumpkin,Pumpkin9,585582861,Male,21,,,10601000056
10304003830,Gita,Dumru,Dumru5,110053353,Male,28,10202001343,10712004379,
10706005567,Gyeltshen,Mustard,Mustard6,119540831,Female,18,10902000130,10806004460,
10704007032,Yonten Pema Tenzin,Mustard,Mustard4,632719211,Female,50,10803007405,10304000430,
20201001121,Karma Pema,Carrot,Carrot1,542621108,Male,8,10606001715,10302004583,
10605003575,Karma,Ladyfinger,Ladyfinger5,110053353,Female,28,10202001343,10712004379,
11009009204,Sonam Wangchuk,Potato,Potato9,542621108,Female,8,10810001612,10303001404,
10905003505,Tshewang,Peas,Peas5,796233790,Female,40,10305006622,10811001633,
10806008584,Nirajan Krishna,Pumpkin,Pumpkin6,634036506,Female,16,10301006955,10702000132,10304006284
10803004592,Tshering Gyeltshen,Pumpkin,Pumpkin3,262950628,Female,43,10505000359,10706004511,
10905008238,Wangchuk,Peas,Peas5,249817734,Female,19,10604007546,10709004967,
10602000841,Choden Gyeltshen,Ladyfinger,Ladyfinger2,865241839,Female,12,10504009617,10904003981,
10705001395,Dorji Deki,Mustard,Mustard5,110053353,Male,28,10603006102,10807005553,
10305007428,Yonten,Dumru,Dumru6,249817734,Female,19,10806000838,10605003777,
10503009906,Binita Gita,Hoentshoe,Hoentshoe3,726600539,Female,35,10606006857,20201007314,
10505007264,Gyeltshen Tshewang,Hoentshoe,Hoentshoe5,298704996,Female,26,10707007417,10606002925,
10808001557,Dorji Tshering,Pumpkin,Pumpkin8,819795579,Male,17,10205008320,10702006906,10701009244
10706009024,Krishna Nirajan,Mustard,Mustard6,231191390,Female,41,10101004272,10303008017,
10702000939,Karma,Mustard,Mustard2,295310485,Female,1,10901005051,10811006785,
10101005763,Dorji Gyeltshen Tashi,Banana,Banana1,166944844,Male,42,10202007144,10709005260,
11006000006,Tshering Kinley Pema,Potato,Potato6,234760738,Female,47,10604002417,11004000269,
10711006690,Komal Amit,Mustard,Mustard11,26855092,Female,33,10901000693,10603005003,
10502005622,Wangchuk,Hoentshoe,Hoentshoe2,453778756,Male,36,10804009200,10102005629,
10202003522,Ram Nirajan Krishna,Carrot,Carrot2,453778756,Female,36,10804009200,10102005629,
10501007080,Ram,Hoentshoe,Hoentshoe1,171432881,Male,23,10401009275,10505008288,
10906001133,Prakash,Peas,Peas6,749621470,Female,32,10907004689,10706009528,
10307003321,Yonten,Dumru,Dumru1,28492780,Female,2,10704009833,10502003288,
10401008837,Tshewang Tshering,Garlic,Garlic1,6977991,Female,6,20201006504,10503008928,
10801004123,Sonam Choden,Pumpkin,Pumpkin1,149827706,Male,20,10302005153,10405005422,
10706000356,Gyeltshen Pema,Mustard,Mustard6,6977991,Female,6,10603009045,11006007305,10701002330
10402003385,Choden Tshering,Garlic,Garlic2,298362082,Male,24,10101008719,10707000950,
10701009208,Kinley Dorji,Mustard,Mustard1,749621470,Male,32,10705008666,10804007702,
10711001063,Karma Sonam,Mustard,Mustard11,213500298,Male,13,10605007484,10603005682,
10103005221,Tenzin Deki,Banana,Banana3,686579303,Female,44,11004002455,10601000326,
10708003467,Dorji Pema,Mustard,Mustard8,869119330,Female,46,10104000757,10809005003,
11007006171,Tashi Tenzin,Potato,Potato7,262950628,Male,43,10306002108,10811006809,
10205004005,Karma,Carrot,Carrot4,749621470,Male,32,10907004689,10706009528,
10806001350,Karma Tshering,Pumpkin,Pumpkin6,213500298,Male,13,10305009238,10403004339,
10808008818,Karma Wangchuk,Pumpkin,Pumpkin8,6977991,Male,6,10706000356,10701002330,
10301009798,Deki Tashi,Dumru,Dumru2,790779946,Male,4,10306000500,10605009874,
10811000845,Yonten Lhaki,Pumpkin,Pumpkin11,110053353,Male,28,11007009202,10908009669,
10803006990,Karma Tashi Lhaki,Pumpkin,Pumpkin3,697808098,Female,45,10504005617,10809006168,
10501005993,Yonten,Hoentshoe,Hoentshoe1,213500298,Female,13,10402000742,10101007406,
10503006563,Tshewang Dorji,Hoentshoe,Hoentshoe3,34126396,Male,48,10604003139,10704009083,
10905001869,Gyeltshen Tshewang,Peas,Peas5,110053353,Female,28,,,10701005280
10502004853,Dorji Pema,Hoentshoe,Hoentshoe2,632719211,Female,50,10803007405,10304000430,
10304001311,Wangchuk Yonten,Dumru,Dumru5,796233790,Female,40,10702000998,10708004646,
10404007371,Manoj,Garlic,Garlic4,697808098,Male,45,,,10806006843
10302001077,Tshewang Deki Tashi,Dumru,Dumru3,869119330,Female,46,10802003618,10709002002,
10102004933,Sabita,Banana,Banana2,234760738,Female,47,10701000762,10502004106,
10602002615,Deki,Ladyfinger,Ladyfinger2,249817734,Female,19,10802007056,10709001274,
11002007912,Dorji Kinley,Potato,Potato2,365341213,Female,3,10704001307,10808009911,10402000417
10205008972,Tshewang Lhaki Tashi,Carrot,Carrot4,298362082,Female,24,10804006931,10709002417,
10406005770,Gyeltshen Sonam Karma,Garlic,Garlic6,869119330,Male,46,10802003618,10709002002,
10804008856,Tashi,Pumpkin,Pumpkin4,236696312,Female,30,10908004465,10810003909,
10712006939,Lhaki Gyeltshen,Mustard,Mustard12,819795579,Male,17,10103005850,11004002060,
10302006442,Sunita,Dumru,Dumru3,171432881,Male,23,10401009275,10505008288,
10803009911,Pema Dorji Choden,Pumpkin,Pumpkin3,819795579,Female,17,10808001557,10701009244,
11002007239,Tshewang Yonten,Potato,Potato2,26855092,Male,33,11006006870,10706000744,
11004007018,Tshewang Tshering,Potato,Potato4,482334538,Male,5,10908006991,10807004583,
10905003267,Wangchuk,Peas,Peas5,31994523,Female,9,10304007405,11002009363,
10808008061,Gyeltshen,Pumpkin,Pumpkin8,361415646,Female,27,10811007619,10705008317,
10102003470,Tshewang,Banana,Banana2,31994523,Female,9,10205002332,10802004634,
10301005674,Gita Komal,Dumru,Dumru2,632719211,Male,50,10710004581,10104009977,
10306004631,Binita Ramesh,Dumru,Dumru7,646412689,Female,31,10602001104,10303005514,
10705008740,Wangchuk,Mustard,Mustard5,646412689,Male,31,10603007803,10903008920,11005002830
10403003261,Tshering Choden Pema,Garlic,Garlic3,171432881,Female,23,10606003706,11004000916,
10402006461,Tshewang Deki,Garlic,Garlic2,453035110,Female,25,,,10210007682
10906009372,Gyeltshen Deki,Peas,Peas6,602632297,Male,49,10708006311,11001002414,
10403002129,Komal,Garlic,Garlic3,26855092,Male,33,11009004728,10908003629,
10101003519,Kinley Sonam,Banana,Banana1,249817734,Female,19,10806000838,10605003777,
10805005345,Bishnu Amit,Pumpkin,Pumpkin5,585582861,Female,21,11004005425,10603009295,
10302005905,Tenzin,Dumru,Dumru3,365341213,Male,3,10701003531,10203001336,
10804000813,Manoj Prakash Nirajan,Pumpkin,Pumpkin4,361415646,Female,27,10811007619,10705008317,
10503002422,Krishna Manoj,Hoentshoe,Hoentshoe3,6977991,Female,6,11005000998,10811004668,
10602001104,Yonten Gyeltshen,Ladyfinger,Ladyfinger2,646412689,Male,31,10603007803,10903008920,10303005514
10304008935,Sonam Tashi,Dumru,Dumru5,26855092,Female,33,10603002594,10904000613,
10808006939,Manoj Ram,Pumpkin,Pumpkin8,236696312,Male,30,10301003044,10712000992,
10701005023,Karma,Mustard,Mustard1,726600539,Male,35,10301004649,10104001503,
10705005285,Gyeltshen,Mustard,Mustard5,166944844,Male,42,10202007144,10709005260,
10710001827,Tenzin Wangchuk,Mustard,Mustard10,298704996,Female,26,,,10803009787
10802001376,Dorji Pema Kinley,Pumpkin,Pumpkin2,453035110,Female,25,,,10902009256
10802002079,Gyeltshen Yonten,Pumpkin,Pumpkin2,796233790,Male,40,,,10808000256
10505006570,Lhaki Wangchuk,Hoentshoe,Hoentshoe5,726600539,Female,35,10301004649,10104001503,
11003009157,Ramesh Gita Krishna,Potato,Potato3,790779946,Female,4,10801001479,20201004986,10711001127
10701000762,Tenzin,Mustard,Mustard1,234760738,Female,47,10305002683,10501002347,10502004106
10908008109,Pema Tashi,Peas,Peas8,865241839,Female,12,,,10205008584
10807005553,Choden Dorji,Pumpkin,Pumpkin7,110053353,Female,28,,,10603006102
10707003619,Yonten Sonam,Mustard,Mustard7,100604502,Male,14,10302000085,10808003068,
10704005873,Tashi Sonam,Mustard,Mustard4,298362082,Female,24,10101008719,10707000950,
11003001046,Bishnu Komal Ramesh,Potato,Potato3,234760738,Male,47,10604002417,11004000269,
10811005661,Komal Sabita,Pumpkin,Pumpkin11,231191390,Male,41,10802007511,10203001659,10403009954
10502000293,Ramesh Binita Amit,Hoentshoe,Hoentshoe2,262950628,Male,43,11005008689,10707004444,
10101003570,Deki Karma Tshewang,Banana,Banana1,686579303,Female,44,11006002587,10606007311,10203007873
10801002153,Dorji,Pumpkin,Pumpkin1,726600539,Female,35,11009006566,10104002159,10804009115
10604005339,Gyeltshen Karma,Ladyfinger,Ladyfinger4,213500298,Male,13,10907003254,10407008486,
10402003065,Karma Tashi,Garlic,Garlic2,239670711,Female,29,10307001344,10702007579,
10102008751,Wangchuk,Banana,Banana2,34126396,Female,48,11001006548,10703008209,
10705001293,Sonam Tenzin,Mustard,Mustard5,31994523,Female,9,10807002532,11005007569,
10505008375,Tenzin Gyeltshen Yonten,Hoentshoe,Hoentshoe5,213500298,Male,13,,,10703002584
